id,operatorId,code,name,description,timeZone
94,22,russia-megafon-megafon_dv-respublika_saha_(yakutiya),Республика Саха (Якутия),Республика Саха (Якутия),Asia/Yakutsk
95,22,russia-megafon-megafon_dv-chukotskii_ao,Чукотский АО,Чукотский АО,Asia/Magadan
96,22,russia-megafon-megafon_dv-evreiskaya_ao,Еврейская АО,Еврейская АО,Asia/Vladivostok
97,22,russia-megafon-megafon_dv-zabaikalskii_krai,Забайкальский край,Забайкальский край,Asia/Yakutsk
98,22,russia-megafon-megafon_dv-amurskaya_oblast,Амурская область,Амурская область,Asia/Yakutsk
99,22,russia-megafon-megafon_dv-respublika_buryatiya,Республика Бурятия,Республика Бурятия,Asia/Irkutsk
100,22,russia-megafon-megafon_dv-habarovskii_krai,Хабаровский Край,Хабаровский Край,Asia/Vladivostok
101,22,russia-megafon-megafon_dv-sahalinskaya_oblast,Сахалинская область,Сахалинская область,Asia/Vladivostok
199,25,russia-mts-mts-belgorodskaya_oblast,Белгородская область,Белгородская область,Europe/Moscow
200,25,russia-mts-mts-respublika_komi,Республика Коми,Республика Коми,Europe/Moscow
201,25,russia-mts-mts-orlovskaya_oblast,Орловская область,Орловская область,Europe/Moscow
202,25,russia-mts-mts-primorskii_krai,Приморский край,Приморский край,Asia/Vladivostok
203,25,russia-mts-mts-pskovskaya_oblast,Псковская область,Псковская область,Europe/Moscow
204,25,russia-mts-mts-respublika_kareliya,Республика Карелия,Республика Карелия,Europe/Moscow
205,25,russia-mts-mts-permskii_krai,Пермский край,Пермский край,Asia/Yekaterinburg
206,25,russia-mts-mts-kurskaya_oblast,Курская область,Курская область,Europe/Moscow
207,25,russia-mts-mts-krasnoyarskii_krai,Красноярский край,Красноярский край,Asia/Krasnoyarsk
208,25,russia-mts-mts-sahalinskaya_oblast,Сахалинская область,Сахалинская область,Asia/Vladivostok
209,25,russia-mts-mts-respublika_buryatiya,Республика Бурятия,Республика Бурятия,Asia/Irkutsk
210,25,russia-mts-mts-respublika_marii_el,Республика Марий Эл,Республика Марий Эл,Europe/Moscow
211,25,russia-mts-mts-arhangelskaya_oblast,Архангельская область,Архангельская область,Europe/Moscow
212,25,russia-mts-mts-kostromskaya_oblast,Костромская область,Костромская область,Europe/Moscow
213,25,russia-mts-mts-penzenskaya_oblast,Пензенская область,Пензенская область,Europe/Moscow
214,25,russia-mts-mts-ivanovskaya_oblast,Ивановская область,Ивановская область,Europe/Moscow
215,25,russia-mts-mts-kirovskaya_oblast,Кировская область,Кировская область,Europe/Moscow
216,25,russia-mts-mts-tverskaya_oblast,Тверская область,Тверская область,Europe/Moscow
217,25,russia-mts-mts-tomskaya_oblast,Томская область,Томская область,Asia/Krasnoyarsk
218,25,russia-mts-mts-chuvashskaya_respublika,Чувашская Республика,Чувашская Республика,Europe/Moscow
219,25,russia-mts-mts-kaliningradskaya_oblast,Калининградская область,Калининградская область,Europe/Kaliningrad
220,25,russia-mts-mts-volgogradskaya_oblast,Волгоградская область,Волгоградская область,Europe/Moscow
221,26,russia-smarts-smarts_yaroslavl-yaroslavskaya_oblast,Ярославская область,Ярославская область,Europe/Moscow
102,22,russia-megafon-megafon_dv-magadanskaya_oblast,Магаданская область,Магаданская область,Asia/Magadan
103,22,russia-megafon-megafon_center-tulskaya_oblast,Тульская область,Тульская область,Europe/Moscow
104,22,russia-megafon-megafon_center-kurskaya_oblast,Курская область,Курская область,Europe/Moscow
105,22,russia-megafon-megafon_center-nizhegorodskaya_oblast,Нижегородская область,Нижегородская область,Europe/Moscow
106,22,russia-megafon-megafon_center-orlovskaya_oblast,Орловская область,Орловская область,Europe/Moscow
107,22,russia-megafon-megafon_center-vladimirskaya_oblast,Владимирская область,Владимирская область,Europe/Moscow
108,22,russia-megafon-megafon_center-ryazanskaya_oblast,Рязанская область,Рязанская область,Europe/Moscow
109,22,russia-megafon-megafon_center-kaluzhskaya_oblast,Калужская область,Калужская область,Europe/Moscow
110,22,russia-megafon-megafon_center-bryanskaya_oblast,Брянская область,Брянская область,Europe/Moscow
111,22,russia-megafon-megafon_kavkaz-karachaevo_cherkesskaya_respublika,Карачаево-Черкесская Республика,Карачаево-Черкесская Республика,Europe/Moscow
112,22,russia-megafon-megafon_kavkaz-voronezhskaya_oblast,Воронежская область,Воронежская область,Europe/Moscow
113,22,russia-megafon-megafon_kavkaz-respublika_adygeya,Республика Адыгея,Республика Адыгея,Europe/Moscow
114,22,russia-megafon-megafon_kavkaz-stavropolskii_krai,Ставропольский край,Ставропольский край,Europe/Moscow
115,22,russia-megafon-megafon_kavkaz-krasnodarskii_krai,Краснодарский край,Краснодарский край,Europe/Moscow
116,22,russia-megafon-megafon_kavkaz-belgorodskaya_oblast,Белгородская область,Белгородская область,Europe/Moscow
117,22,russia-megafon-megafon_kavkaz-kabardino_balkarskaya_respublika,Кабардино-Балкарская Республика,Кабардино-Балкарская Республика,Europe/Moscow
118,22,russia-megafon-megafon_kavkaz-chechenskaya_respublika,Чеченская Республика,Чеченская Республика,Europe/Moscow
119,22,russia-megafon-megafon_kavkaz-tambovskaya_oblast,Тамбовская область,Тамбовская область,Europe/Moscow
120,22,russia-megafon-megafon_kavkaz-respublika_dagestan,Республика Дагестан,Республика Дагестан,Europe/Moscow
121,22,russia-megafon-megafon_kavkaz-lipeckaya_oblast,Липецкая область,Липецкая область,Europe/Moscow
122,22,russia-megafon-megafon_moscow-moskva,Москва,Москва,Europe/Moscow
123,22,russia-megafon-megafon_nw-sankt_peterburg,Санкт-Петербург,Санкт-Петербург,Europe/Moscow
124,23,russia-default-default-default,По умолчанию,По умолчанию,Europe/Moscow
125,24,russia-tele2-tele2_tomsk-tomskaya_oblast,Томская область,Томская область,Asia/Krasnoyarsk
126,24,russia-tele2-tele2_spb_pskov-pskovskaya_oblast,Псковская область,Псковская область,Europe/Moscow
127,24,russia-tele2-tele2_kuzbass-kemerovskaya_oblast,Кемеровская область,Кемеровская область,Asia/Krasnoyarsk
128,24,russia-tele2-tele2_chelyabinsk-chelyabinskaya_oblast,Челябинская область,Челябинская область,Asia/Yekaterinburg
129,24,russia-tele2-tele2_krasnodar-krasnodarskii_krai,Краснодарский край,Краснодарский край,Europe/Moscow
130,24,russia-tele2-tele2_rostov-rostovskaya_oblast,Ростовская область,Ростовская область,Europe/Moscow
131,24,russia-tele2-tele2_kursk-kurskaya_oblast,Курская область,Курская область,Europe/Moscow
132,24,russia-tele2-tele2_belgorod-belgorodskaya_oblast,Белгородская область,Белгородская область,Europe/Moscow
133,24,russia-tele2-tele2_lipetsk-lipeckaya_oblast,Липецкая область,Липецкая область,Europe/Moscow
134,24,russia-tele2-tele2_voronezh-tulskaya_oblast,Тульская область,Тульская область,Europe/Moscow
135,24,russia-tele2-tele2_voronezh-kostromskaya_oblast,Костромская область,Костромская область,Europe/Moscow
136,24,russia-tele2-tele2_voronezh-vladimirskaya_oblast,Владимирская область,Владимирская область,Europe/Moscow
137,24,russia-tele2-tele2_voronezh-voronezhskaya_oblast,Воронежская область,Воронежская область,Europe/Moscow
138,24,russia-tele2-tele2_voronezh-ryazanskaya_oblast,Рязанская область,Рязанская область,Europe/Moscow
139,24,russia-tele2-tele2_voronezh-tambovskaya_oblast,Тамбовская область,Тамбовская область,Europe/Moscow
140,24,russia-tele2-tele2_voronezh-orlovskaya_oblast,Орловская область,Орловская область,Europe/Moscow
141,24,russia-tele2-tele2_voronezh-kirovskaya_oblast,Кировская область,Кировская область,Europe/Moscow
142,24,russia-tele2-tele2_tver-tverskaya_oblast,Тверская область,Тверская область,Europe/Moscow
143,24,russia-tele2-tele2_spb-sankt_peterburg,Санкт-Петербург,Санкт-Петербург,Europe/Moscow
144,24,russia-tele2-tele2_arh-arhangelskaya_oblast,Архангельская область,Архангельская область,Europe/Moscow
145,24,russia-tele2-tele2_kaluga-kaluzhskaya_oblast,Калужская область,Калужская область,Europe/Moscow
146,24,russia-tele2-tele2_nnov-nizhegorodskaya_oblast,Нижегородская область,Нижегородская область,Europe/Moscow
147,24,russia-tele2-tele2_smolensk-smolenskaya_oblast,Смоленская область,Смоленская область,Europe/Moscow
148,24,russia-tele2-tele2_spb_vologda-vologodskaya_oblast,Вологодская область,Вологодская область,Europe/Moscow
149,24,russia-tele2-tele2_novosib-novosibirskaya_oblast,Новосибирская область,Новосибирская область,Asia/Krasnoyarsk
150,24,russia-tele2-tele2_bryansk-bryanskaya_oblast,Брянская область,Брянская область,Europe/Moscow
151,24,russia-tele2-tele2_spb_petrozavodsk-respublika_kareliya,Республика Карелия,Республика Карелия,Europe/Moscow
152,24,russia-tele2-tele2_udmurtiya-respublika_udmurtiya,Республика Удмуртия,Республика Удмуртия,Europe/Moscow
153,24,russia-tele2-tele2_komi-respublika_komi,Республика Коми,Республика Коми,Europe/Moscow
154,24,russia-tele2-tele2_murmansk-murmanskaya_oblast,Мурманская область,Мурманская область,Europe/Moscow
155,24,russia-tele2-tele2_novgorod-novgorodskaya_oblast,Новгородская область,Новгородская область,Europe/Moscow
156,24,russia-tele2-tele2_kamchatka-kamchatskii_krai,Камчатский край,Камчатский край,Asia/Kamchatka
157,24,russia-tele2-tele2_kaliningrad-kaliningradskaya_oblast,Калининградская область,Калининградская область,Europe/Kaliningrad
158,24,russia-tele2-tele2_sakhalin-sahalinskaya_oblast,Сахалинская область,Сахалинская область,Asia/Vladivostok
159,24,russia-tele2-tele2_magadan-magadanskaya_oblast,Магаданская область,Магаданская область,Asia/Magadan
160,24,russia-tele2-tele2_sibir-omskaya_oblast,Омская область,Омская область,Asia/Omsk
161,25,russia-mts-mts-sverdlovskaya_oblast,Свердловская область,Свердловская область,Asia/Yekaterinburg
162,25,russia-mts-mts-moskva,Москва,Москва,Europe/Moscow
163,25,russia-mts-mts-kemerovskaya_oblast,Кемеровская область,Кемеровская область,Asia/Krasnoyarsk
164,25,russia-mts-mts-respublika_tatarstan,Республика Татарстан,Республика Татарстан,Europe/Moscow
165,25,russia-mts-mts-respublika_udmurtiya,Республика Удмуртия,Республика Удмуртия,Europe/Moscow
166,25,russia-mts-mts-nizhegorodskaya_oblast,Нижегородская область,Нижегородская область,Europe/Moscow
167,25,russia-mts-mts-ryazanskaya_oblast,Рязанская область,Рязанская область,Europe/Moscow
168,25,russia-mts-mts-krasnodarskii_krai,Краснодарский край,Краснодарский край,Europe/Moscow
169,25,russia-mts-mts-sankt_peterburg,Санкт-Петербург,Санкт-Петербург,Europe/Moscow
170,25,russia-mts-mts-hanty_mansiiskii_ao,Ханты-Мансийский АО,Ханты-Мансийский АО,Asia/Yekaterinburg
171,25,russia-mts-mts-chelyabinskaya_oblast,Челябинская область,Челябинская область,Asia/Yekaterinburg
172,25,russia-mts-mts-kamchatskii_krai,Камчатский край,Камчатский край,Asia/Kamchatka
173,25,russia-mts-mts-habarovskii_krai,Хабаровский Край,Хабаровский Край,Asia/Vladivostok
174,25,russia-mts-mts-smolenskaya_oblast,Смоленская область,Смоленская область,Europe/Moscow
175,25,russia-mts-mts-ulyanovskaya_oblast,Ульяновская область,Ульяновская область,Europe/Moscow
176,25,russia-mts-mts-rostovskaya_oblast,Ростовская область,Ростовская область,Europe/Moscow
177,25,russia-mts-mts-astrahanskaya_oblast,Астраханская область,Астраханская область,Europe/Moscow
178,25,russia-mts-mts-vologodskaya_oblast,Вологодская область,Вологодская область,Europe/Moscow
179,25,russia-mts-mts-yaroslavskaya_oblast,Ярославская область,Ярославская область,Europe/Moscow
180,25,russia-mts-mts-respublika_bashkortostan,Республика Башкортостан,Республика Башкортостан,Asia/Yekaterinburg
181,25,russia-mts-mts-samarskaya_oblast,Самарская область,Самарская область,Europe/Moscow
182,25,russia-mts-mts-novgorodskaya_oblast,Новгородская область,Новгородская область,Europe/Moscow
183,25,russia-mts-mts-bryanskaya_oblast,Брянская область,Брянская область,Europe/Moscow
184,25,russia-mts-mts-murmanskaya_oblast,Мурманская область,Мурманская область,Europe/Moscow
185,25,russia-mts-mts-omskaya_oblast,Омская область,Омская область,Asia/Omsk
186,25,russia-mts-mts-altaiskii_krai,Алтайский край,Алтайский край,Asia/Krasnoyarsk
187,25,russia-mts-mts-novosibirskaya_oblast,Новосибирская область,Новосибирская область,Asia/Krasnoyarsk
188,25,russia-mts-mts-tumenskaya_oblast,Тюменская область,Тюменская область,Asia/Yekaterinburg
189,25,russia-mts-mts-kurganskaya_oblast,Курганская область,Курганская область,Asia/Yekaterinburg
190,25,russia-mts-mts-yamalo_neneckii_ao,Ямало-Ненецкий АО,Ямало-Ненецкий АО,Asia/Yekaterinburg
191,25,russia-mts-mts-lipeckaya_oblast,Липецкая область,Липецкая область,Europe/Moscow
192,25,russia-mts-mts-tambovskaya_oblast,Тамбовская область,Тамбовская область,Europe/Moscow
193,25,russia-mts-mts-irkutskaya_oblast,Иркутская область,Иркутская область,Asia/Irkutsk
194,25,russia-mts-mts-tulskaya_oblast,Тульская область,Тульская область,Europe/Moscow
195,25,russia-mts-mts-respublika_mordoviya,Республика Мордовия,Республика Мордовия,Europe/Moscow
196,25,russia-mts-mts-orenburgskaya_oblast,Оренбургская область,Оренбургская область,Asia/Yekaterinburg
197,25,russia-mts-mts-voronezhskaya_oblast,Воронежская область,Воронежская область,Europe/Moscow
198,25,russia-mts-mts-stavropolskii_krai,Ставропольский край,Ставропольский край,Europe/Moscow
21,21,russia-beeline-beeline-sverdlovskaya_oblast,Свердловская область,Свердловская область,Asia/Yekaterinburg
22,21,russia-beeline-beeline-tambovskaya_oblast,Тамбовская область,Тамбовская область,Europe/Moscow
23,21,russia-beeline-beeline-moskva,Москва,Москва,Europe/Moscow
24,21,russia-beeline-beeline-krasnoyarskii_krai,Красноярский край,Красноярский край,Asia/Krasnoyarsk
25,21,russia-beeline-beeline-kemerovskaya_oblast,Кемеровская область,Кемеровская область,Asia/Krasnoyarsk
26,21,russia-beeline-beeline-sankt_peterburg,Санкт-Петербург,Санкт-Петербург,Europe/Moscow
27,21,russia-beeline-beeline-stavropolskii_krai,Ставропольский край,Ставропольский край,Europe/Moscow
28,21,russia-beeline-beeline-volgogradskaya_oblast,Волгоградская область,Волгоградская область,Europe/Moscow
29,21,russia-beeline-beeline-kaliningradskaya_oblast,Калининградская область,Калининградская область,Europe/Kaliningrad
30,21,russia-beeline-beeline-astrahanskaya_oblast,Астраханская область,Астраханская область,Europe/Moscow
31,21,russia-beeline-beeline-kostromskaya_oblast,Костромская область,Костромская область,Europe/Moscow
32,21,russia-beeline-beeline-respublika_bashkortostan,Республика Башкортостан,Республика Башкортостан,Asia/Yekaterinburg
33,21,russia-beeline-beeline-respublika_tatarstan,Республика Татарстан,Республика Татарстан,Europe/Moscow
34,21,russia-beeline-beeline-kurskaya_oblast,Курская область,Курская область,Europe/Moscow
35,21,russia-beeline-beeline-belgorodskaya_oblast,Белгородская область,Белгородская область,Europe/Moscow
36,21,russia-beeline-beeline-voronezhskaya_oblast,Воронежская область,Воронежская область,Europe/Moscow
37,21,russia-beeline-beeline-ivanovskaya_oblast,Ивановская область,Ивановская область,Europe/Moscow
38,21,russia-beeline-beeline-chelyabinskaya_oblast,Челябинская область,Челябинская область,Asia/Yekaterinburg
39,21,russia-beeline-beeline-samarskaya_oblast,Самарская область,Самарская область,Europe/Moscow
40,21,russia-beeline-beeline-krasnodarskii_krai,Краснодарский край,Краснодарский край,Europe/Moscow
41,21,russia-beeline-beeline-novosibirskaya_oblast,Новосибирская область,Новосибирская область,Asia/Krasnoyarsk
42,21,russia-beeline-beeline-arhangelskaya_oblast,Архангельская область,Архангельская область,Europe/Moscow
43,21,russia-beeline-beeline-yaroslavskaya_oblast,Ярославская область,Ярославская область,Europe/Moscow
44,21,russia-beeline-beeline-rostovskaya_oblast,Ростовская область,Ростовская область,Europe/Moscow
45,21,russia-beeline-beeline-kaluzhskaya_oblast,Калужская область,Калужская область,Europe/Moscow
46,21,russia-beeline-beeline-bryanskaya_oblast,Брянская область,Брянская область,Europe/Moscow
47,21,russia-beeline-beeline-vladimirskaya_oblast,Владимирская область,Владимирская область,Europe/Moscow
48,21,russia-beeline-beeline-lipeckaya_oblast,Липецкая область,Липецкая область,Europe/Moscow
49,21,russia-beeline-beeline-kirovskaya_oblast,Кировская область,Кировская область,Europe/Moscow
50,21,russia-beeline-beeline-smolenskaya_oblast,Смоленская область,Смоленская область,Europe/Moscow
51,21,russia-beeline-beeline-respublika_mordoviya,Республика Мордовия,Республика Мордовия,Europe/Moscow
52,21,russia-beeline-beeline-chuvashskaya_respublika,Чувашская Республика,Чувашская Республика,Europe/Moscow
53,21,russia-beeline-beeline-nizhegorodskaya_oblast,Нижегородская область,Нижегородская область,Europe/Moscow
440,25,russia-mts-mts-magadanskaya_oblast,Магаданская область,Магаданская область,Asia/Magadan
441,25,russia-mts-mts-respublika_adygeya,Республика Адыгея,Республика Адыгея,Europe/Moscow
442,25,russia-mts-mts-chechenskaya_respublika,Чеченская Республика,Чеченская Республика,Europe/Moscow
443,25,russia-mts-mts-respublika_hakasiya,Республика Хакасия,Республика Хакасия,Asia/Krasnoyarsk
444,25,russia-mts-mts-kaluzhskaya_oblast,Калужская область,Калужская область,Europe/Moscow
445,22,russia-megafon-megafon_nw-arhangelskaya_oblast,Архангельская область,Архангельская область,Europe/Moscow
446,22,russia-megafon-megafon_nw-kaliningradskaya_oblast,Калининградская область,Калининградская область,Europe/Kaliningrad
447,22,russia-megafon-megafon_nw-ivanovskaya_oblast,Ивановская область,Ивановская область,Europe/Moscow
448,22,russia-megafon-megafon_nw-novgorodskaya_oblast,Новгородская область,Новгородская область,Europe/Moscow
449,22,russia-megafon-megafon_nw-yaroslavskaya_oblast,Ярославская область,Ярославская область,Europe/Moscow
450,22,russia-megafon-megafon_nw-murmanskaya_oblast,Мурманская область,Мурманская область,Europe/Moscow
451,22,russia-megafon-megafon_nw-kostromskaya_oblast,Костромская область,Костромская область,Europe/Moscow
452,22,russia-megafon-megafon_volga-astrahanskaya_oblast,Астраханская область,Астраханская область,Europe/Moscow
453,22,russia-megafon-megafon_ural-permskii_krai,Пермский край,Пермский край,Asia/Yekaterinburg
454,22,russia-megafon-megafon_ural-respublika_udmurtiya,Республика Удмуртия,Республика Удмуртия,Europe/Moscow
455,22,russia-megafon-megafon_ural-yamalo_neneckii_ao,Ямало-Ненецкий АО,Ямало-Ненецкий АО,Asia/Yekaterinburg
456,22,russia-megafon-megafon_sibir-tomskaya_oblast,Томская область,Томская область,Asia/Krasnoyarsk
457,237,russia-tattelecom-tattelecom-respublika_tatarstan,Республика Татарстан,Республика Татарстан,Europe/Moscow
458,238,russia-skylink-skylink_moscow-moskva,Москва,Москва,Europe/Moscow
461,25,russia-mts-mts-respublika_saha_(yakutiya),Республика Саха (Якутия),Республика Саха (Якутия),Asia/Yakutsk
462,25,russia-mts-mts-amurskaya_oblast,Амурская область,Амурская область,Asia/Yakutsk
463,25,russia-mts-mts-respublika_severnaya_osetiya,Республика Северная Осетия,Республика Северная Осетия,Europe/Moscow
464,21,russia-beeline-beeline-respublika_altai,Республика Алтай,Республика Алтай,Asia/Krasnoyarsk
465,24,russia-tele2-tele2_adigeya-respublika_adygeya,Республика Адыгея,Республика Адыгея,Europe/Moscow
466,24,russia-tele2-tele2_birobidzhan-evreiskaya_ao,Еврейская АО,Еврейская АО,Asia/Vladivostok
467,24,russia-tele2-tele2_krasnoyarsk-krasnoyarskii_krai,Красноярский край,Красноярский край,Asia/Krasnoyarsk
468,24,russia-tele2-tele2_anadyr-chukotskii_ao,Чукотский АО,Чукотский АО,Asia/Magadan
469,22,russia-megafon-megafon_volga-chuvashskaya_respublika,Чувашская Республика,Чувашская Республика,Europe/Moscow
470,22,russia-megafon-megafon_volga-respublika_mordoviya,Республика Мордовия,Республика Мордовия,Europe/Moscow
471,22,russia-megafon-megafon_sibir-respublika_hakasiya,Республика Хакасия,Республика Хакасия,Asia/Krasnoyarsk
472,22,russia-megafon-megafon_sibir-respublika_tyva,Республика Тыва,Республика Тыва,Asia/Krasnoyarsk
473,22,russia-megafon-megafon_kavkaz-respublika_severnaya_osetiya,Республика Северная Осетия,Республика Северная Осетия,Europe/Moscow
474,22,russia-megafon-megafon_nw-tverskaya_oblast,Тверская область,Тверская область,Europe/Moscow
475,22,russia-megafon-megafon_nw-smolenskaya_oblast,Смоленская область,Смоленская область,Europe/Moscow
476,22,russia-megafon-megafon_nw-vologodskaya_oblast,Вологодская область,Вологодская область,Europe/Moscow
477,22,russia-megafon-megafon_ural-respublika_komi,Республика Коми,Республика Коми,Europe/Moscow
478,22,russia-megafon-megafon_ural-kurganskaya_oblast,Курганская область,Курганская область,Asia/Yekaterinburg
479,22,russia-megafon-megafon_ural-kirovskaya_oblast,Кировская область,Кировская область,Europe/Moscow
480,241,russia-vainah_telecom-vainah_telecom-chechenskaya_respublika,Чеченская Республика,Чеченская Республика,Europe/Moscow
481,22,russia-megafon-megafon_nw-respublika_kareliya,Республика Карелия,Республика Карелия,Europe/Moscow
482,22,russia-megafon-megafon_nw-pskovskaya_oblast,Псковская область,Псковская область,Europe/Moscow
483,25,russia-mts-mts-kabardino_balkarskaya_respublika,Кабардино-Балкарская Республика,Кабардино-Балкарская Республика,Europe/Moscow
484,25,russia-mts-mts-evreiskaya_ao,Еврейская АО,Еврейская АО,Asia/Vladivostok
485,26,russia-smarts-smarts-samarskaya_oblast,Самарская область,Самарская область,Europe/Moscow
486,26,russia-smarts-smarts-ulyanovskaya_oblast,Ульяновская область,Ульяновская область,Europe/Moscow
487,26,russia-smarts-smarts_astrahan-astrahanskaya_oblast,Астраханская область,Астраханская область,Europe/Moscow
488,26,russia-smarts-smarts_shupashkar-chuvashskaya_respublika,Чувашская Республика,Чувашская Республика,Europe/Moscow
495,21,russia-beeline-beeline-neneckii_ao,Ненецкий АО,Ненецкий АО,Europe/Moscow
496,25,russia-mts-mts-respublika_altai,Республика Алтай,Республика Алтай,Asia/Krasnoyarsk
497,25,russia-mts-mts-respublika_dagestan,Республика Дагестан,Республика Дагестан,Europe/Moscow
498,22,russia-megafon-megafon_sibir-respublika_altai,Республика Алтай,Республика Алтай,Asia/Krasnoyarsk
499,26,russia-smarts-smarts-respublika_bashkortostan,Республика Башкортостан,Республика Башкортостан,Asia/Yekaterinburg
500,26,russia-smarts-smarts-ivanovskaya_oblast,Ивановская область,Ивановская область,Europe/Moscow
501,26,russia-smarts-smarts-respublika_mordoviya,Республика Мордовия,Республика Мордовия,Europe/Moscow
502,26,russia-smarts-smarts-respublika_marii_el,Республика Марий Эл,Республика Марий Эл,Europe/Moscow
503,26,russia-smarts-smarts-respublika_tatarstan,Республика Татарстан,Республика Татарстан,Europe/Moscow
504,25,russia-mts-mts-zabaikalskii_krai,Забайкальский край,Забайкальский край,Asia/Yakutsk
505,22,russia-megafon-megafon_volga-orenburgskaya_oblast,Оренбургская область,Оренбургская область,Asia/Yekaterinburg
506,22,russia-megafon-megafon_volga-respublika_marii_el,Республика Марий Эл,Республика Марий Эл,Europe/Moscow
507,22,russia-megafon-megafon_volga-penzenskaya_oblast,Пензенская область,Пензенская область,Europe/Moscow
508,22,russia-megafon-megafon_volga-ulyanovskaya_oblast,Ульяновская область,Ульяновская область,Europe/Moscow
509,22,russia-megafon-megafon_volga-respublika_tatarstan,Республика Татарстан,Республика Татарстан,Europe/Moscow
510,22,russia-megafon-megafon_volga-volgogradskaya_oblast,Волгоградская область,Волгоградская область,Europe/Moscow
511,22,russia-megafon-megafon_volga-samarskaya_oblast,Самарская область,Самарская область,Europe/Moscow
